id , coauthors
5001 , 1
5002 , 1
5003 , 1
5004 , 1
5005 , 0
5006 , 1
5007 , 1
5008 , 1
5009 , 0
5010 , 1
5011 , 1
5012 , 0
5013 , 1
5014 , 0
5015 , 1
5016 , 1
5017 , 0
5018 , 0
5019 , 0
5020 , 0
5021 , 0
5022 , 1
5023 , 0
5024 , 0
5025 , 1
5026 , 1
5027 , 1
5028 , 1
5029 , 1
5030 , 1
5031 , 1
5032 , 0
5033 , 1
5034 , 0
5035 , 0
5036 , 1
5037 , 1
5038 , 1
5039 , 1
5040 , 0
5041 , 0
5042 , 0
5043 , 1
5044 , 1
5045 , 0
5046 , 1
5047 , 1
5048 , 1
5049 , 0
5050 , 0
5051 , 0
5052 , 1
5053 , 0
5054 , 0
5055 , 1
5056 , 0
5057 , 0
5058 , 0
5059 , 1
5060 , 1
5061 , 1
5062 , 1
5063 , 0
5064 , 0
5065 , 1
5066 , 0
5067 , 0
5068 , 1
5069 , 1
5070 , 0
5071 , 0
5072 , 1
5073 , 1
5074 , 0
5075 , 1
5076 , 1
5077 , 1
5078 , 0
5079 , 1
5080 , 0
5081 , 0
5082 , 1
5083 , 1
5084 , 0
5085 , 1
5086 , 0
5087 , 1
5088 , 0
5089 , 1
5090 , 0
5091 , 0
5092 , 1
5093 , 0
5094 , 1
5095 , 1
5096 , 1
5097 , 0
5098 , 1
5099 , 1
5100 , 1
5101 , 1
5102 , 1
5103 , 0
5104 , 1
5105 , 0
5106 , 0
5107 , 1
5108 , 0
5109 , 1
5110 , 0
5111 , 0
5112 , 1
5113 , 0
5114 , 1
5115 , 0
5116 , 0
5117 , 0
5118 , 0
5119 , 1
5120 , 1
5121 , 0
5122 , 0
5123 , 1
5124 , 1
5125 , 0
5126 , 1
5127 , 1
5128 , 0
5129 , 0
5130 , 1
5131 , 0
5132 , 0
5133 , 0
5134 , 0
5135 , 1
5136 , 1
5137 , 0
5138 , 0
5139 , 0
5140 , 1
5141 , 0
5142 , 0
5143 , 0
5144 , 0
5145 , 0
5146 , 0
5147 , 0
5148 , 0
5149 , 1
5150 , 1
5151 , 0
5152 , 1
5153 , 1
5154 , 1
5155 , 1
5156 , 1
5157 , 0
5158 , 0
5159 , 0
5160 , 0
5161 , 1
5162 , 0
5163 , 0
5164 , 0
5165 , 0
5166 , 0
5167 , 0
5168 , 1
5169 , 0
5170 , 1
5171 , 0
5172 , 1
5173 , 1
5174 , 1
5175 , 0
5176 , 1
5177 , 0
5178 , 0
5179 , 1
5180 , 1
5181 , 0
5182 , 1
5183 , 0
5184 , 1
5185 , 0
5186 , 0
5187 , 0
5188 , 1
5189 , 0
5190 , 1
5191 , 1
5192 , 0
5193 , 1
5194 , 1
5195 , 1
5196 , 0
5197 , 1
5198 , 1
5199 , 1
5200 , 1
5201 , 0
5202 , 1
5203 , 1
5204 , 0
5205 , 1
5206 , 1
5207 , 0
5208 , 1
5209 , 1
5210 , 0
5211 , 1
5212 , 1
5213 , 1
5214 , 0
5215 , 1
5216 , 0
5217 , 0
5218 , 1
5219 , 0
5220 , 1
5221 , 1
5222 , 1
5223 , 1
5224 , 0
5225 , 0
5226 , 0
5227 , 1
5228 , 1
5229 , 1
5230 , 1
5231 , 0
5232 , 0
5233 , 1
5234 , 1
5235 , 0
5236 , 0
5237 , 1
5238 , 1
5239 , 0
5240 , 1
5241 , 0
5242 , 0
5243 , 0
5244 , 1
5245 , 0
5246 , 1
5247 , 0
5248 , 0
5249 , 1
5250 , 0
5251 , 0
5252 , 0
5253 , 0
5254 , 1
5255 , 1
5256 , 1
5257 , 1
5258 , 0
5259 , 1
5260 , 1
5261 , 0
5262 , 0
5263 , 0
5264 , 1
5265 , 1
5266 , 1
5267 , 0
5268 , 1
5269 , 0
5270 , 0
5271 , 1
5272 , 1
5273 , 1
5274 , 0
5275 , 1
5276 , 0
5277 , 1
5278 , 1
5279 , 1
5280 , 1
5281 , 0
5282 , 0
5283 , 1
5284 , 0
5285 , 1
5286 , 0
5287 , 0
5288 , 0
5289 , 0
5290 , 0
5291 , 0
5292 , 0
5293 , 0
5294 , 0
5295 , 1
5296 , 0
5297 , 0
5298 , 1
5299 , 1
5300 , 1
5301 , 1
5302 , 0
5303 , 0
5304 , 0
5305 , 0
5306 , 0
5307 , 1
5308 , 0
5309 , 1
5310 , 1
5311 , 1
5312 , 1
5313 , 1
5314 , 1
5315 , 0
5316 , 0
5317 , 1
5318 , 1
5319 , 1
5320 , 0
5321 , 1
5322 , 0
5323 , 1
5324 , 1
5325 , 0
5326 , 1
5327 , 1
5328 , 0
5329 , 1
5330 , 1
5331 , 1
5332 , 0
5333 , 1
5334 , 1
5335 , 1
5336 , 0
5337 , 1
5338 , 0
5339 , 0
5340 , 1
5341 , 1
5342 , 1
5343 , 1
5344 , 0
5345 , 0
5346 , 0
5347 , 1
5348 , 1
5349 , 0
5350 , 0
5351 , 0
5352 , 0
5353 , 0
5354 , 1
5355 , 0
5356 , 0
5357 , 1
5358 , 1
5359 , 1
5360 , 1
5361 , 1
5362 , 0
5363 , 0
5364 , 1
5365 , 1
5366 , 0
5367 , 0
5368 , 0
5369 , 0
5370 , 1
5371 , 0
5372 , 0
5373 , 0
5374 , 0
5375 , 1
5376 , 1
5377 , 0
5378 , 1
5379 , 1
5380 , 0
5381 , 1
5382 , 1
5383 , 0
5384 , 0
5385 , 1
5386 , 0
5387 , 0
5388 , 0
5389 , 0
5390 , 1
5391 , 1
5392 , 1
5393 , 0
5394 , 1
5395 , 1
5396 , 0
5397 , 1
5398 , 0
5399 , 0
5400 , 1
5401 , 0
5402 , 0
5403 , 0
5404 , 1
5405 , 0
5406 , 0
5407 , 0
5408 , 1
5409 , 1
5410 , 0
5411 , 1
5412 , 0
5413 , 1
5414 , 1
5415 , 1
5416 , 0
5417 , 1
5418 , 1
5419 , 0
5420 , 0
5421 , 0
5422 , 0
5423 , 0
5424 , 0
5425 , 0
5426 , 1
5427 , 1
5428 , 0
5429 , 1
5430 , 0
5431 , 1
5432 , 0
5433 , 0
5434 , 1
5435 , 1
5436 , 1
5437 , 0
5438 , 0
5439 , 0
5440 , 0
5441 , 1
5442 , 1
5443 , 1
5444 , 0
5445 , 0
5446 , 1
5447 , 1
5448 , 1
5449 , 0
5450 , 0
5451 , 0
5452 , 1
5453 , 0
5454 , 1
5455 , 0
5456 , 0
5457 , 1
5458 , 1
5459 , 0
5460 , 1
5461 , 0
5462 , 0
5463 , 0
5464 , 1
5465 , 1
5466 , 1
5467 , 1
5468 , 1
5469 , 1
5470 , 1
5471 , 1
5472 , 0
5473 , 0
5474 , 1
5475 , 1
5476 , 1
5477 , 1
5478 , 1
5479 , 0
5480 , 0
5481 , 0
5482 , 1
5483 , 1
5484 , 1
5485 , 0
5486 , 0
5487 , 1
5488 , 1
5489 , 1
5490 , 1
5491 , 0
5492 , 0
5493 , 1
5494 , 0
5495 , 0
5496 , 1
5497 , 1
5498 , 0
5499 , 1
5500 , 1
5501 , 1
5502 , 0
5503 , 1
5504 , 1
5505 , 0
5506 , 0
5507 , 0
5508 , 0
5509 , 0
5510 , 1
5511 , 1
5512 , 0
5513 , 0
5514 , 0
5515 , 1
5516 , 1
5517 , 1
5518 , 0
5519 , 0
5520 , 1
5521 , 1
5522 , 0
5523 , 1
5524 , 1
5525 , 1
5526 , 1
5527 , 0
5528 , 0
5529 , 0
5530 , 1
5531 , 1
5532 , 0
5533 , 0
5534 , 0
5535 , 1
5536 , 0
5537 , 0
5538 , 1
5539 , 0
5540 , 1
5541 , 0
5542 , 1
5543 , 0
5544 , 1
5545 , 1
5546 , 0
5547 , 1
5548 , 1
5549 , 0
5550 , 1
5551 , 0
5552 , 0
5553 , 1
5554 , 1
5555 , 0
5556 , 0
5557 , 0
5558 , 1
5559 , 0
5560 , 0
5561 , 0
5562 , 0
5563 , 0
5564 , 1
5565 , 1
5566 , 0
5567 , 1
5568 , 1
5569 , 0
5570 , 1
5571 , 1
5572 , 0
5573 , 0
5574 , 1
5575 , 0
5576 , 1
5577 , 1
5578 , 1
5579 , 0
5580 , 0
5581 , 0
5582 , 1
5583 , 0
5584 , 0
5585 , 1
5586 , 1
5587 , 0
5588 , 0
5589 , 0
5590 , 0
5591 , 0
5592 , 0
5593 , 1
5594 , 1
5595 , 0
5596 , 0
5597 , 1
5598 , 1
5599 , 1
5600 , 0
5601 , 1
5602 , 0
5603 , 1
5604 , 1
5605 , 1
5606 , 1
5607 , 0
5608 , 1
5609 , 0
5610 , 0
5611 , 1
5612 , 1
5613 , 0
5614 , 0
5615 , 0
5616 , 0
5617 , 1
5618 , 1
5619 , 0
5620 , 0
5621 , 1
5622 , 0
5623 , 1
5624 , 1
5625 , 0
5626 , 1
5627 , 0
5628 , 0
5629 , 1
5630 , 0
5631 , 1
5632 , 0
5633 , 1
5634 , 1
5635 , 0
5636 , 0
5637 , 1
5638 , 0
5639 , 0
5640 , 1
5641 , 1
5642 , 1
5643 , 1
5644 , 1
5645 , 1
5646 , 1
5647 , 0
5648 , 0
5649 , 1
5650 , 1
5651 , 1
5652 , 1
5653 , 1
5654 , 1
5655 , 0
5656 , 1
5657 , 1
5658 , 0
5659 , 1
5660 , 1
5661 , 0
5662 , 0
5663 , 0
5664 , 1
5665 , 0
5666 , 0
5667 , 1
5668 , 0
5669 , 0
5670 , 0
5671 , 0
5672 , 0
5673 , 0
5674 , 1
5675 , 0
5676 , 1
5677 , 0
5678 , 1
5679 , 1
5680 , 1
5681 , 0
5682 , 1
5683 , 1
5684 , 1
5685 , 1
5686 , 1
5687 , 1
5688 , 0
5689 , 1
5690 , 0
5691 , 1
5692 , 0
5693 , 1
5694 , 0
5695 , 0
5696 , 0
5697 , 0
5698 , 0
5699 , 0
5700 , 1
5701 , 0
5702 , 0
5703 , 1
5704 , 1
5705 , 0
5706 , 1
5707 , 1
5708 , 1
5709 , 0
5710 , 0
5711 , 1
5712 , 0
5713 , 0
5714 , 1
5715 , 0
5716 , 0
5717 , 0
5718 , 1
5719 , 0
5720 , 1
5721 , 0
5722 , 1
5723 , 1
5724 , 0
5725 , 0
5726 , 1
5727 , 0
5728 , 1
5729 , 1
5730 , 0
5731 , 0
5732 , 0
5733 , 1
5734 , 1
5735 , 1
5736 , 1
5737 , 0
5738 , 0
5739 , 1
5740 , 0
5741 , 0
5742 , 0
5743 , 1
5744 , 0
5745 , 0
