id , user1, user2
1 , 134246 , 10633
2 , 926567 , 4214
3 , 1086222 , 12399
4 , 1539975 , 729039
5 , 101649 , 11009
6 , 1679743 , 3535
7 , 765778 , 7887
8 , 1680938 , 54
9 , 415791 , 12462
10 , 1423878 , 12401
11 , 1930148 , 2434
12 , 1568729 , 5404
13 , 1041859 , 1393
14 , 1346696 , 951045
15 , 246227 , 2421
16 , 1858026 , 2332
17 , 4004 , 6440
18 , 1328486 , 2821
19 , 1697613 , 1285802
20 , 58724 , 1812048
21 , 1014566 , 2553
22 , 282531 , 1563414
23 , 794446 , 9527
24 , 1791047 , 6516
25 , 187440 , 1526942
26 , 381002 , 1556200
27 , 1733737 , 549968
28 , 246227 , 1727115
29 , 795170 , 5540
30 , 12787 , 1199006
31 , 330034 , 4630
32 , 374476 , 1939183
33 , 9777 , 1521
34 , 609845 , 1395223
35 , 428115 , 2048
36 , 1791875 , 6993
37 , 1888516 , 8182
38 , 150269 , 8775
39 , 814351 , 4611
40 , 1171019 , 1342
41 , 2008310 , 82
42 , 1616987 , 7654
43 , 946758 , 1257105
44 , 826699 , 11978
45 , 541608 , 9004
46 , 45615 , 1451364
47 , 465385 , 2771
48 , 402474 , 13931
49 , 51089 , 7105
50 , 1292146 , 3506
51 , 149533 , 6621
52 , 605209 , 1768
53 , 1709263 , 2822
54 , 1569744 , 730
55 , 10738 , 1676578
56 , 144783 , 4538
57 , 1872450 , 12873
58 , 877306 , 3800
59 , 8631 , 5221
60 , 387798 , 1461
61 , 978152 , 9258
62 , 683374 , 2608
63 , 1934128 , 1345352
64 , 1376836 , 850
65 , 1061806 , 1004281
66 , 926240 , 7102
67 , 1427317 , 14351
68 , 10640 , 619973
69 , 818441 , 5679
70 , 1396422 , 1704339
71 , 731879 , 14392
72 , 1890772 , 235
73 , 1144273 , 5713
74 , 2211 , 8893
75 , 1558 , 563425
76 , 2027362 , 1349
77 , 1796835 , 8586
78 , 212693 , 2760
79 , 494034 , 1552
80 , 12339 , 1719212
81 , 1669864 , 1304
82 , 1924800 , 538962
83 , 820433 , 1342653
84 , 1005685 , 1303040
85 , 594889 , 270391
86 , 10399 , 1053209
87 , 1511090 , 9871
88 , 518875 , 12368
