inst#,    actual, predicted, error, probability distribution
     1          ?        2:1      +   0.118 *0.882
     2          ?        1:0      +  *0.955  0.045
     3          ?        2:1      +   0.193 *0.807
     4          ?        1:0      +  *0.999  0.001
     5          ?        1:0      +  *0.999  0.001
     6          ?        2:1      +   0.118 *0.882
     7          ?        1:0      +  *0.999  0.001
     8          ?        1:0      +  *0.999  0.001
     9          ?        2:1      +   0.193 *0.807
    10          ?        1:0      +  *0.999  0.001
    11          ?        2:1      +   0.118 *0.882
    12          ?        1:0      +  *0.999  0.001
    13          ?        2:1      +   0.193 *0.807
    14          ?        2:1      +   0.193 *0.807
    15          ?        2:1      +   0.193 *0.807
    16          ?        2:1      +   0.193 *0.807
    17          ?        2:1      +   0.193 *0.807
    18          ?        2:1      +   0.118 *0.882
    19          ?        1:0      +  *0.999  0.001
    20          ?        2:1      +   0.193 *0.807
    21          ?        2:1      +   0.118 *0.882
    22          ?        1:0      +  *0.999  0.001
    23          ?        2:1      +   0.193 *0.807
    24          ?        2:1      +   0.193 *0.807
    25          ?        1:0      +  *1      0    
    26          ?        2:1      +   0.193 *0.807
    27          ?        2:1      +   0.193 *0.807
    28          ?        2:1      +   0.118 *0.882
    29          ?        1:0      +  *0.999  0.001
    30          ?        2:1      +   0.193 *0.807
    31          ?        2:1      +   0.118 *0.882
    32          ?        2:1      +   0.193 *0.807
    33          ?        2:1      +   0.118 *0.882
    34          ?        2:1      +   0.118 *0.882
    35          ?        2:1      +   0.193 *0.807
    36          ?        1:0      +  *1      0    
    37          ?        2:1      +   0.193 *0.807
    38          ?        2:1      +   0.193 *0.807
    39          ?        2:1      +   0.118 *0.882
    40          ?        2:1      +   0.118 *0.882
    41          ?        1:0      +  *0.999  0.001
    42          ?        1:0      +  *0.999  0.001
    43          ?        2:1      +   0.118 *0.882
    44          ?        2:1      +   0.193 *0.807
    45          ?        2:1      +   0.118 *0.882
    46          ?        1:0      +  *0.999  0.001
    47          ?        2:1      +   0.118 *0.882
    48          ?        1:0      +  *0.999  0.001
    49          ?        1:0      +  *0.999  0.001
    50          ?        2:1      +   0.118 *0.882
    51          ?        2:1      +   0.118 *0.882
    52          ?        2:1      +   0.193 *0.807
    53          ?        2:1      +   0.118 *0.882
    54          ?        1:0      +  *0.999  0.001
    55          ?        2:1      +   0.118 *0.882
    56          ?        1:0      +  *0.999  0.001
    57          ?        2:1      +   0.118 *0.882
    58          ?        2:1      +   0.193 *0.807
    59          ?        1:0      +  *0.999  0.001
    60          ?        2:1      +   0.193 *0.807
    61          ?        1:0      +  *1      0    
    62          ?        1:0      +  *0.999  0.001
    63          ?        2:1      +   0.193 *0.807
    64          ?        1:0      +  *0.955  0.045
    65          ?        2:1      +   0.193 *0.807
    66          ?        1:0      +  *0.999  0.001
    67          ?        1:0      +  *0.955  0.045
    68          ?        1:0      +  *1      0    
    69          ?        1:0      +  *0.999  0.001
    70          ?        1:0      +  *1      0    
    71          ?        2:1      +   0.118 *0.882
    72          ?        2:1      +   0.193 *0.807
    73          ?        2:1      +   0.118 *0.882
    74          ?        1:0      +  *0.999  0.001
    75          ?        2:1      +   0.118 *0.882
    76          ?        1:0      +  *0.999  0.001
    77          ?        2:1      +   0.118 *0.882
    78          ?        2:1      +   0.118 *0.882
    79          ?        2:1      +   0.193 *0.807
    80          ?        2:1      +   0.193 *0.807
    81          ?        1:0      +  *0.999  0.001
    82          ?        2:1      +   0.193 *0.807
    83          ?        2:1      +   0.193 *0.807
    84          ?        1:0      +  *0.923  0.077
    85          ?        1:0      +  *0.999  0.001
    86          ?        2:1      +   0.193 *0.807
    87          ?        1:0      +  *1      0    
    88          ?        2:1      +   0.118 *0.882
    89          ?        2:1      +   0.118 *0.882
    90          ?        2:1      +   0.118 *0.882
    91          ?        2:1      +   0.118 *0.882
    92          ?        2:1      +   0.118 *0.882
    93          ?        1:0      +  *0.999  0.001
    94          ?        2:1      +   0.193 *0.807
    95          ?        2:1      +   0.193 *0.807
    96          ?        1:0      +  *0.999  0.001
    97          ?        2:1      +   0.118 *0.882
    98          ?        2:1      +   0.193 *0.807
    99          ?        1:0      +  *1      0    
   100          ?        2:1      +   0.118 *0.882
   101          ?        2:1      +   0.193 *0.807
   102          ?        2:1      +   0.118 *0.882
   103          ?        1:0      +  *0.923  0.077
   104          ?        2:1      +   0.193 *0.807
   105          ?        1:0      +  *0.999  0.001
   106          ?        2:1      +   0.193 *0.807
   107          ?        2:1      +   0.193 *0.807
   108          ?        1:0      +  *0.999  0.001
   109          ?        1:0      +  *0.999  0.001
   110          ?        2:1      +   0.118 *0.882
   111          ?        2:1      +   0.193 *0.807
   112          ?        2:1      +   0.193 *0.807
   113          ?        2:1      +   0.118 *0.882
   114          ?        2:1      +   0.193 *0.807
   115          ?        1:0      +  *0.999  0.001
   116          ?        2:1      +   0.118 *0.882
   117          ?        1:0      +  *0.999  0.001
   118          ?        2:1      +   0.193 *0.807
   119          ?        1:0      +  *1      0    
   120          ?        1:0      +  *1      0    
   121          ?        2:1      +   0.193 *0.807
   122          ?        2:1      +   0.193 *0.807
   123          ?        1:0      +  *0.999  0.001
   124          ?        1:0      +  *0.999  0.001
   125          ?        1:0      +  *1      0    
   126          ?        1:0      +  *0.999  0.001
   127          ?        1:0      +  *0.999  0.001
   128          ?        1:0      +  *0.999  0.001
   129          ?        2:1      +   0.118 *0.882
   130          ?        2:1      +   0.193 *0.807
   131          ?        1:0      +  *1      0    
   132          ?        2:1      +   0.193 *0.807
   133          ?        2:1      +   0.193 *0.807
   134          ?        1:0      +  *0.999  0.001
   135          ?        2:1      +   0.118 *0.882
   136          ?        2:1      +   0.193 *0.807
   137          ?        2:1      +   0.193 *0.807
   138          ?        2:1      +   0.193 *0.807
   139          ?        1:0      +  *0.999  0.001
   140          ?        2:1      +   0.118 *0.882
   141          ?        1:0      +  *0.999  0.001
   142          ?        2:1      +   0.193 *0.807
   143          ?        2:1      +   0.193 *0.807
   144          ?        1:0      +  *0.955  0.045
   145          ?        1:0      +  *0.955  0.045
   146          ?        2:1      +   0.118 *0.882
   147          ?        2:1      +   0.193 *0.807
   148          ?        2:1      +   0.118 *0.882
   149          ?        1:0      +  *1      0    
   150          ?        2:1      +   0.193 *0.807
   151          ?        2:1      +   0.193 *0.807
   152          ?        2:1      +   0.118 *0.882
   153          ?        1:0      +  *0.999  0.001
   154          ?        2:1      +   0.193 *0.807
   155          ?        1:0      +  *0.999  0.001
   156          ?        2:1      +   0.193 *0.807
   157          ?        1:0      +  *0.999  0.001
   158          ?        2:1      +   0.118 *0.882
   159          ?        2:1      +   0.118 *0.882
   160          ?        2:1      +   0.193 *0.807
   161          ?        2:1      +   0.193 *0.807
   162          ?        2:1      +   0.118 *0.882
   163          ?        2:1      +   0.193 *0.807
   164          ?        2:1      +   0.118 *0.882
   165          ?        2:1      +   0.118 *0.882
   166          ?        2:1      +   0.118 *0.882
   167          ?        2:1      +   0.118 *0.882
   168          ?        1:0      +  *0.999  0.001
   169          ?        2:1      +   0.193 *0.807
   170          ?        1:0      +  *1      0    
   171          ?        2:1      +   0.193 *0.807
   172          ?        1:0      +  *0.999  0.001
   173          ?        1:0      +  *0.999  0.001
   174          ?        2:1      +   0.118 *0.882
   175          ?        2:1      +   0.118 *0.882
   176          ?        1:0      +  *0.999  0.001
   177          ?        2:1      +   0.193 *0.807
   178          ?        2:1      +   0.193 *0.807
   179          ?        1:0      +  *0.999  0.001
   180          ?        1:0      +  *0.999  0.001
   181          ?        1:0      +  *0.955  0.045
   182          ?        1:0      +  *0.999  0.001
   183          ?        1:0      +  *0.999  0.001
   184          ?        2:1      +   0.193 *0.807
   185          ?        2:1      +   0.118 *0.882
   186          ?        1:0      +  *1      0    
   187          ?        2:1      +   0.193 *0.807
   188          ?        1:0      +  *0.999  0.001
   189          ?        2:1      +   0.193 *0.807
   190          ?        2:1      +   0.193 *0.807
   191          ?        1:0      +  *1      0    
   192          ?        1:0      +  *0.999  0.001
   193          ?        2:1      +   0.118 *0.882
   194          ?        2:1      +   0.118 *0.882
   195          ?        2:1      +   0.193 *0.807
   196          ?        2:1      +   0.193 *0.807
   197          ?        2:1      +   0.118 *0.882
   198          ?        2:1      +   0.118 *0.882
   199          ?        2:1      +   0.193 *0.807
   200          ?        1:0      +  *0.999  0.001
   201          ?        1:0      +  *0.955  0.045
   202          ?        2:1      +   0.193 *0.807
   203          ?        2:1      +   0.118 *0.882
   204          ?        2:1      +   0.193 *0.807
   205          ?        1:0      +  *0.999  0.001
   206          ?        1:0      +  *0.999  0.001
   207          ?        2:1      +   0.118 *0.882
   208          ?        2:1      +   0.193 *0.807
   209          ?        1:0      +  *0.999  0.001
   210          ?        2:1      +   0.193 *0.807
   211          ?        2:1      +   0.118 *0.882
   212          ?        2:1      +   0.193 *0.807
   213          ?        2:1      +   0.193 *0.807
   214          ?        1:0      +  *0.999  0.001
   215          ?        1:0      +  *0.999  0.001
   216          ?        1:0      +  *0.999  0.001
   217          ?        1:0      +  *1      0    
   218          ?        2:1      +   0.118 *0.882
   219          ?        2:1      +   0.118 *0.882
   220          ?        1:0      +  *1      0    
   221          ?        1:0      +  *0.999  0.001
   222          ?        1:0      +  *0.999  0.001
   223          ?        2:1      +   0.118 *0.882
   224          ?        2:1      +   0.193 *0.807
   225          ?        2:1      +   0.193 *0.807
   226          ?        2:1      +   0.193 *0.807
   227          ?        2:1      +   0.118 *0.882
