id , friends
1 , 1
2 , 1
3 , 1
4 , 0
5 , 1
6 , 0
7 , 0
8 , 1
9 , 1
10 , 1
11 , 1
12 , 1
13 , 1
14 , 0
15 , 1
16 , 1
17 , 0
18 , 0
19 , 0
20 , 0
21 , 1
22 , 0
23 , 1
24 , 1
25 , 0
26 , 0
27 , 0
28 , 0
29 , 1
30 , 0
31 , 1
32 , 0
33 , 0
34 , 0
35 , 0
36 , 1
37 , 1
38 , 1
39 , 1
40 , 1
41 , 1
42 , 1
43 , 0
44 , 1
45 , 1
46 , 0
47 , 1
48 , 0
49 , 1
50 , 0
51 , 1
52 , 1
53 , 1
54 , 1
55 , 0
56 , 1
57 , 0
58 , 1
59 , 1
60 , 1
61 , 1
62 , 1
63 , 0
64 , 1
65 , 0
66 , 1
67 , 1
68 , 0
69 , 0
70 , 0
71 , 1
72 , 1
73 , 1
74 , 0
75 , 0
76 , 1
77 , 1
78 , 1
79 , 1
80 , 0
81 , 1
82 , 0
83 , 0
84 , 0
85 , 0
86 , 0
87 , 1
88 , 1
89 , 1
90 , 0
91 , 1
92 , 0
93 , 0
94 , 0
95 , 1
96 , 1
97 , 1
98 , 1
99 , 0
100 , 0
101 , 0
102 , 1
103 , 1
104 , 0
105 , 1
106 , 1
107 , 0
108 , 0
109 , 0
110 , 1
111 , 0
112 , 1
113 , 1
114 , 0
115 , 0
116 , 0
117 , 0
118 , 0
119 , 1
120 , 1
121 , 1
122 , 0
123 , 1
124 , 0
125 , 0
126 , 1
127 , 0
128 , 0
129 , 1
130 , 1
131 , 0
132 , 0
133 , 0
134 , 0
135 , 0
136 , 0
137 , 1
138 , 1
139 , 0
140 , 1
141 , 1
142 , 0
143 , 1
144 , 0
145 , 0
146 , 0
147 , 0
148 , 1
149 , 1
150 , 0
151 , 1
152 , 1
153 , 0
154 , 1
155 , 0
156 , 0
157 , 0
158 , 1
159 , 1
160 , 0
161 , 0
162 , 1
163 , 1
164 , 0
165 , 1
166 , 1
167 , 0
168 , 0
169 , 0
170 , 0
171 , 0
172 , 0
173 , 0
174 , 0
175 , 0
176 , 0
177 , 0
178 , 0
179 , 0
180 , 1
181 , 0
182 , 0
183 , 1
184 , 0
185 , 1
186 , 1
187 , 0
188 , 1
189 , 0
190 , 1
191 , 1
192 , 0
193 , 0
194 , 0
195 , 1
196 , 1
197 , 1
198 , 0
199 , 0
200 , 1
201 , 1
202 , 1
203 , 1
204 , 1
205 , 1
206 , 1
207 , 1
208 , 0
209 , 0
210 , 1
211 , 0
212 , 0
213 , 1
214 , 0
215 , 1
216 , 0
217 , 1
218 , 0
219 , 1
220 , 1
221 , 1
222 , 0
223 , 1
224 , 0
225 , 1
226 , 1
227 , 1
228 , 0
229 , 1
230 , 0
231 , 1
232 , 0
233 , 1
234 , 0
235 , 1
236 , 1
237 , 1
238 , 0
239 , 1
240 , 0
241 , 1
242 , 1
243 , 0
244 , 0
245 , 1
246 , 1
247 , 1
248 , 0
249 , 1
250 , 0
251 , 0
252 , 0
253 , 0
254 , 0
255 , 0
256 , 0
257 , 0
258 , 1
259 , 1
260 , 1
261 , 0
262 , 1
263 , 1
264 , 0
265 , 0
266 , 1
267 , 0
268 , 0
269 , 0
270 , 0
271 , 1
272 , 0
273 , 0
274 , 0
275 , 0
276 , 1
277 , 0
278 , 1
279 , 1
280 , 0
281 , 1
282 , 0
283 , 0
284 , 0
285 , 0
286 , 0
287 , 0
288 , 0
289 , 0
290 , 1
291 , 1
292 , 1
293 , 0
294 , 0
295 , 1
296 , 0
297 , 0
298 , 1
299 , 0
300 , 0
301 , 0
302 , 1
303 , 1
304 , 1
305 , 0
306 , 0
307 , 0
308 , 1
309 , 0
310 , 1
311 , 0
312 , 0
313 , 1
314 , 1
315 , 1
316 , 0
317 , 0
318 , 0
319 , 1
320 , 0
321 , 0
322 , 0
323 , 1
324 , 0
325 , 0
326 , 1
327 , 1
328 , 0
329 , 0
330 , 1
331 , 0
332 , 1
333 , 0
334 , 0
335 , 1
336 , 1
337 , 0
338 , 0
339 , 0
340 , 0
341 , 1
342 , 1
343 , 1
344 , 1
345 , 0
346 , 1
347 , 0
348 , 1
349 , 0
350 , 0
351 , 0
352 , 1
353 , 0
354 , 0
355 , 0
356 , 0
357 , 0
358 , 0
359 , 0
360 , 0
361 , 0
362 , 0
363 , 0
364 , 1
365 , 1
366 , 0
367 , 1
368 , 0
369 , 1
370 , 0
371 , 0
372 , 1
373 , 0
374 , 0
375 , 1
376 , 0
377 , 0
378 , 0
379 , 0
380 , 1
381 , 1
382 , 0
383 , 0
384 , 0
385 , 1
386 , 0
387 , 0
388 , 1
389 , 1
390 , 1
391 , 1
392 , 0
393 , 0
394 , 1
395 , 0
396 , 1
397 , 1
398 , 0
399 , 1
400 , 0
401 , 0
